ano;ente;cod_uf;sig_uf;cod_ibge;nom_ente
2024;Municipal;31;MG;311250;Capim Branco
2024;Municipal;31;MG;311260;Capinópolis
2024;Municipal;31;MG;311265;Capitão Andrade
2024;Municipal;31;MG;311270;Capitão Enéas
2024;Municipal;31;MG;311280;Capitólio
2024;Municipal;31;MG;311290;Caputira
2024;Municipal;31;MG;311300;Caraí
2024;Municipal;31;MG;311310;Caranaíba
2024;Municipal;31;MG;311320;Carandaí
2024;Municipal;31;MG;311330;Carangola
2024;Municipal;31;MG;311340;Caratinga
2024;Municipal;31;MG;311350;Carbonita
2024;Municipal;31;MG;311360;Careaçu
2024;Municipal;31;MG;311370;Carlos Chagas
2024;Municipal;31;MG;311380;Carmésia
2024;Municipal;31;MG;311390;Carmo da Cachoeira
2024;Municipal;31;MG;311400;Carmo da Mata
2024;Municipal;31;MG;311410;Carmo de Minas
2024;Municipal;31;MG;311420;Carmo do Cajuru
2024;Municipal;31;MG;311430;Carmo do Paranaíba
2024;Municipal;31;MG;311440;Carmo do Rio Claro
2024;Municipal;31;MG;311450;Carmópolis de Minas
2024;Municipal;31;MG;311455;Carneirinho
2024;Municipal;31;MG;311460;Carrancas
2024;Municipal;31;MG;311470;Carvalhópolis
2024;Municipal;31;MG;311480;Carvalhos
2024;Municipal;31;MG;311490;Casa Grande
2024;Municipal;31;MG;311500;Cascalho Rico
2024;Municipal;31;MG;311510;Cássia
2024;Municipal;31;MG;311520;Conceição da Barra de Minas
2024;Municipal;31;MG;311530;Cataguases
2024;Municipal;31;MG;311535;Catas Altas
2024;Municipal;31;MG;311540;Catas Altas da Noruega
2024;Municipal;31;MG;311545;Catuji
2024;Municipal;31;MG;311547;Catuti
2024;Municipal;31;MG;311550;Caxambu
2024;Municipal;31;MG;311560;Cedro do Abaeté
2024;Municipal;31;MG;311570;Central de Minas
2024;Municipal;31;MG;311580;Centralina
2024;Municipal;31;MG;311590;Chácara
2024;Municipal;31;MG;311600;Chalé
2024;Municipal;31;MG;311610;Chapada do Norte
2024;Municipal;31;MG;311615;Chapada Gaúcha
2024;Municipal;31;MG;311620;Chiador
2024;Municipal;31;MG;311630;Cipotânea
2024;Municipal;31;MG;311640;Claraval
2024;Municipal;31;MG;311650;Claro dos Poções
2024;Municipal;31;MG;311660;Cláudio
2024;Municipal;31;MG;311670;Coimbra
2024;Municipal;31;MG;311680;Coluna
2024;Municipal;31;MG;311690;Comendador Gomes
2024;Municipal;31;MG;311700;Comercinho
2024;Municipal;31;MG;311710;Conceição da Aparecida
2024;Municipal;31;MG;311720;Conceição das Pedras
2024;Municipal;31;MG;311730;Conceição das Alagoas
2024;Municipal;31;MG;311740;Conceição de Ipanema
2024;Municipal;31;MG;311750;Conceição do Mato Dentro
2024;Municipal;31;MG;311760;Conceição do Pará
2024;Municipal;31;MG;311770;Conceição do Rio Verde
2024;Municipal;31;MG;311780;Conceição dos Ouros
2024;Municipal;31;MG;311783;Cônego Marinho
2024;Municipal;31;MG;311787;Confins
2024;Municipal;31;MG;311790;Congonhal
2024;Municipal;31;MG;311800;Congonhas
2024;Municipal;31;MG;311810;Congonhas do Norte
2024;Municipal;31;MG;311820;Conquista
2024;Municipal;31;MG;311830;Conselheiro Lafaiete
2024;Municipal;31;MG;311840;Conselheiro Pena
2024;Municipal;31;MG;311850;Consolação
2024;Municipal;31;MG;311860;Contagem
2024;Municipal;31;MG;311870;Coqueiral
2024;Municipal;31;MG;311880;Coração de Jesus
2024;Municipal;31;MG;311890;Cordisburgo
2024;Municipal;31;MG;311900;Cordislândia
2024;Municipal;31;MG;311910;Corinto
2024;Municipal;31;MG;311920;Coroaci
2024;Municipal;31;MG;311930;Coromandel
2024;Municipal;31;MG;311940;Coronel Fabriciano
2024;Municipal;31;MG;311950;Coronel Murta
2024;Municipal;31;MG;311960;Coronel Pacheco
2024;Municipal;31;MG;311970;Coronel Xavier Chaves
2024;Municipal;31;MG;311980;Córrego Danta
2024;Municipal;31;MG;311990;Córrego do Bom Jesus
2024;Municipal;31;MG;311995;Córrego Fundo
2024;Municipal;31;MG;312000;Córrego Novo
2024;Municipal;31;MG;312010;Couto de Magalhães de Minas
2024;Municipal;31;MG;312015;Crisólita
2024;Municipal;31;MG;312020;Cristais
2024;Municipal;31;MG;312030;Cristália
2024;Municipal;31;MG;312040;Cristiano Otoni
2024;Municipal;31;MG;312050;Cristina
2024;Municipal;31;MG;312060;Crucilândia
2024;Municipal;31;MG;312070;Cruzeiro da Fortaleza
2024;Municipal;31;MG;312080;Cruzília
2024;Municipal;31;MG;312083;Cuparaque
2024;Municipal;31;MG;312087;Curral de Dentro
2024;Municipal;31;MG;312090;Curvelo
2024;Municipal;31;MG;312100;Datas
2024;Municipal;31;MG;312110;Delfim Moreira
